avg_backlog_drift,avg_lower_mf_loss,avg_lower_td_loss,avg_realized_delay,avg_remaining_tasks,avg_upper_mf_loss,avg_upper_td_loss,completion_rate,lower_q_max,lower_q_mean,lower_q_min,qos_rate,qos_success_rate,total_energy,total_reward,total_violations,upper_q_max,upper_q_mean,upper_q_min,zeta_lower,zeta_upper
449229.59375,0.0,2.238981008529663,0.0,4.940000057220459,0.02932680770754814,0.0,0.9471276054905948,0.0,0.0,0.0,18.818181818181817,0.9495412844036697,1813.4884033203125,-452657600.0,99.0,0.0,0.0,0.0,1.0,1.0
2369673.5,0.0,2.238981008529663,0.0,5.28000020980835,0.02916199341416359,0.0,0.951530612244898,0.0,0.0,0.0,19.840425531914892,0.9520163348647269,1812.743896484375,-836596288.0,94.0,0.0,0.0,0.0,1.0,1.0
985919.6875,0.0,2.238981008529663,0.0,4.179999828338623,0.02757662534713745,0.0,0.95470737913486,0.0,0.0,0.0,22.070588235294117,0.9566547679755227,1673.81787109375,-532058880.0,85.0,0.0,0.0,0.0,1.0,1.0
1070570.5,0.0,2.238981008529663,0.0,5.050000190734863,0.028381934389472008,0.0,0.9379168804515136,0.0,0.0,0.0,17.245283018867923,0.9451913133402275,2133.908447265625,-641010176.0,106.0,0.0,0.0,0.0,1.0,1.0
1432768.0,0.0,2.238981008529663,0.0,5.329999923706055,0.02635416015982628,0.0,0.944416114227435,0.0,0.0,0.0,17.807692307692307,0.9468302658486708,1628.7060546875,-612409248.0,104.0,0.0,0.0,0.0,1.0,1.0
1937411.0,0.0,2.238981008529663,0.0,5.630000114440918,0.025731971487402916,0.0,0.9344598054275474,0.0,0.0,0.0,14.83739837398374,0.936858316221766,2045.0289306640625,-796605888.0,123.0,0.0,0.0,0.0,1.0,1.0
137686.8125,0.0,2.238981008529663,0.0,4.909999847412109,0.027598118409514427,0.0,0.9425346331452027,0.0,0.0,0.0,17.330188679245282,0.9454451878538342,1978.6202392578125,-423376032.0,106.0,0.0,0.0,0.0,1.0,1.0
2544363.25,0.0,2.238981008529663,0.0,6.539999961853027,0.029527317732572556,0.0,0.9379766141331978,0.0,0.0,0.0,15.24793388429752,0.9384537131230926,1802.091552734375,-869408192.0,121.0,0.0,0.0,0.0,1.0,1.0
1932230.125,0.0,2.238981008529663,0.0,5.099999904632568,0.0258261077105999,0.0,0.9352850539291218,0.0,0.0,0.0,14.804878048780488,0.9367283950617284,2024.3140869140625,-791426560.0,123.0,0.0,0.0,0.0,1.0,1.0
353164.8125,0.0,2.238981008529663,0.0,4.039999961853027,0.027175813913345337,0.0,0.9530851606323304,0.0,0.0,0.0,21.0,0.9545454545454546,2165.88671875,-503922416.0,89.0,0.0,0.0,0.0,1.0,1.0
1111524.75,0.0,2.238981008529663,0.0,4.190000057220459,0.02714327909052372,0.0,0.9505102040816327,0.0,0.0,0.0,20.7,0.9539170506912442,1565.4779052734375,-535512672.0,90.0,0.0,0.0,0.0,1.0,1.0
2827274.0,0.0,2.238981008529663,0.0,6.199999809265137,0.02912273444235325,0.0,0.942986881937437,0.0,0.0,0.0,17.305555555555557,0.9453717754172989,1804.8494873046875,-926539936.0,108.0,0.0,0.0,0.0,1.0,1.0
1930937.625,0.0,2.238981008529663,0.0,6.650000095367432,0.028157155960798264,0.0,0.9376899696048632,0.0,0.0,0.0,15.425,0.939117199391172,2005.071533203125,-787320160.0,120.0,0.0,0.0,0.0,1.0,1.0
642815.6875,0.0,2.238981008529663,0.0,4.0,0.024477478116750717,0.0,0.9493087557603687,0.0,0.0,0.0,19.11340206185567,0.9502819067145054,1931.9580078125,-515068224.0,97.0,0.0,0.0,0.0,1.0,1.0
