avg_backlog_drift,avg_lower_mf_loss,avg_lower_td_loss,avg_realized_delay,avg_remaining_tasks,avg_upper_mf_loss,avg_upper_td_loss,completion_rate,lower_q_max,lower_q_mean,lower_q_min,qos_rate,qos_success_rate,refine_delta_norm,refine_flip_rate,refine_grad,refine_kl_div,refine_q_imp,total_energy,total_reward,total_violations,upper_q_max,upper_q_mean,upper_q_min,zeta_lower,zeta_upper
27603180.0,0.02226424776017666,0.0,0.0,18.079999923706055,0.02678564563393593,0.0,0.8047767393561787,0.0,0.0,0.0,4.1891891891891895,0.8072916666666666,0.0,0.0,0.0,0.0,0.0,2337.19091796875,-5520636160.0,370.0,0.0,0.0,0.0,1.0,1.0
57288552.0,0.022033577784895897,0.0,0.0,18.059999465942383,0.022463029250502586,0.0,0.8052356020942408,0.0,0.0,0.0,4.248618784530387,0.8094736842105263,0.0,0.0,0.0,0.0,0.0,2171.49267578125,-11457709568.0,362.0,0.0,0.0,0.0,1.0,1.0
34437068.0,0.02283591777086258,0.0,0.0,16.06999969482422,0.025183748453855515,0.0,0.8120418848167539,0.0,0.0,0.0,4.418803418803419,0.8154574132492114,0.0,0.0,0.0,0.0,0.0,2243.96435546875,-6887413760.0,351.0,0.0,0.0,0.0,1.0,1.0
14193134.0,0.022278785705566406,0.0,0.0,14.020000457763672,0.031043270602822304,0.0,0.8399374348279458,0.0,0.0,0.0,5.37,0.8430141287284144,0.0,0.0,0.0,0.0,0.0,2368.52490234375,-2838626816.0,300.0,0.0,0.0,0.0,1.0,1.0
31747456.0,0.022191600874066353,0.0,0.0,21.84000015258789,0.030380818992853165,0.0,0.7520876826722338,0.0,0.0,0.0,3.238202247191011,0.764050901378579,0.0,0.0,0.0,0.0,0.0,1809.6678466796875,-6349491200.0,445.0,0.0,0.0,0.0,1.0,1.0
26297810.0,0.022276297211647034,0.0,0.0,19.530000686645508,0.026136988773941994,0.0,0.7913446676970634,0.0,0.0,0.0,4.162601626016261,0.8062992125984252,0.0,0.0,0.0,0.0,0.0,1773.732177734375,-5259562240.0,369.0,0.0,0.0,0.0,1.0,1.0
44703960.0,0.023148026317358017,0.0,0.0,19.31999969482422,0.02622775174677372,0.0,0.7502656748140276,0.0,0.0,0.0,3.1873589164785554,0.7611859838274933,0.0,0.0,0.0,0.0,0.0,1778.4658203125,-8940791808.0,443.0,0.0,0.0,0.0,1.0,1.0
13451959.0,0.02302703820168972,0.0,0.0,17.43000030517578,0.030277837067842484,0.0,0.8640776699029126,0.0,0.0,0.0,6.65748031496063,0.8694087403598971,0.0,0.0,0.0,0.0,0.0,2189.59619140625,-2690391936.0,254.0,0.0,0.0,0.0,1.0,1.0
21166272.0,0.02149852365255356,0.0,0.0,19.8799991607666,0.021268118172883987,0.0,0.7835051546391752,0.0,0.0,0.0,3.781094527363184,0.7908428720083247,0.0,0.0,0.0,0.0,0.0,2173.114501953125,-4233254272.0,402.0,0.0,0.0,0.0,1.0,1.0
27005766.0,0.021733036264777184,0.0,0.0,22.479999542236328,0.02675963006913662,0.0,0.7785825142265907,0.0,0.0,0.0,3.6440677966101696,0.7846715328467153,0.0,0.0,0.0,0.0,0.0,2073.180908203125,-5401152768.0,413.0,0.0,0.0,0.0,1.0,1.0
26917690.0,0.021950874477624893,0.0,0.0,17.850000381469727,0.027527928352355957,0.0,0.8123044838373306,0.0,0.0,0.0,4.438746438746438,0.8161341016238869,0.0,0.0,0.0,0.0,0.0,2145.4140625,-5383538176.0,351.0,0.0,0.0,0.0,1.0,1.0
26665518.0,0.022128354758024216,0.0,0.0,17.239999771118164,0.02483917959034443,0.0,0.8146798542425819,0.0,0.0,0.0,4.713855421686747,0.8249868212967844,0.0,0.0,0.0,0.0,0.0,2495.680908203125,-5333103616.0,332.0,0.0,0.0,0.0,1.0,1.0
30694052.0,0.022469287738204002,0.0,0.0,23.899999618530273,0.026833727955818176,0.0,0.7167868177136972,0.0,0.0,0.0,2.601869158878505,0.7223663725998962,0.0,0.0,0.0,0.0,0.0,2070.3642578125,-6138810368.0,535.0,0.0,0.0,0.0,1.0,1.0
31733010.0,0.021500742062926292,0.0,0.0,14.680000305175781,0.024444589391350746,0.0,0.8601982263954095,0.0,0.0,0.0,6.4921259842519685,0.8665265370467683,0.0,0.0,0.0,0.0,0.0,2003.5084228515625,-6346601984.0,254.0,0.0,0.0,0.0,1.0,1.0
28008290.0,0.022987017408013344,0.0,0.0,18.899999618530273,0.024587413296103477,0.0,0.7524804177545692,0.0,0.0,0.0,3.1740088105726874,0.7604221635883905,0.0,0.0,0.0,0.0,0.0,2271.630126953125,-5601657856.0,454.0,0.0,0.0,0.0,1.0,1.0
51087492.0,0.022168148308992386,0.0,0.0,17.709999084472656,0.026086503639817238,0.0,0.8078108941418294,0.0,0.0,0.0,4.465909090909091,0.817047817047817,0.0,0.0,0.0,0.0,0.0,2037.3970947265625,-10217498624.0,352.0,0.0,0.0,0.0,1.0,1.0
24373340.0,0.02114882878959179,0.0,0.0,18.440000534057617,0.02384595200419426,0.0,0.8023133543638276,0.0,0.0,0.0,4.250696378830083,0.8095490716180371,0.0,0.0,0.0,0.0,0.0,2041.3612060546875,-4874668288.0,359.0,0.0,0.0,0.0,1.0,1.0
23849364.0,0.022229643538594246,0.0,0.0,18.65999984741211,0.029250478371977806,0.0,0.7899115964638586,0.0,0.0,0.0,4.029177718832892,0.8011603375527426,0.0,0.0,0.0,0.0,0.0,2081.9931640625,-4769872896.0,377.0,0.0,0.0,0.0,1.0,1.0
19469548.0,0.021848689764738083,0.0,0.0,16.459999084472656,0.022755401208996773,0.0,0.8168865435356201,0.0,0.0,0.0,4.867924528301887,0.8295819935691319,0.0,0.0,0.0,0.0,0.0,2070.541015625,-3893909504.0,318.0,0.0,0.0,0.0,1.0,1.0
33687664.0,0.02076651155948639,0.0,0.0,19.049999237060547,0.0272161103785038,0.0,0.8029835390946503,0.0,0.0,0.0,4.288461538461538,0.8109090909090909,0.0,0.0,0.0,0.0,0.0,1911.39599609375,-6737532672.0,364.0,0.0,0.0,0.0,1.0,1.0
24683934.0,0.022561214864253998,0.0,0.0,21.700000762939453,0.027331139892339706,0.0,0.7340920848422142,0.0,0.0,0.0,2.98109243697479,0.7488126649076517,0.0,0.0,0.0,0.0,0.0,2039.2548828125,-4936786688.0,476.0,0.0,0.0,0.0,1.0,1.0
13404193.0,0.021003246307373047,0.0,0.0,14.609999656677246,0.0255214162170887,0.0,0.8257415254237288,0.0,0.0,0.0,4.949206349206349,0.8319103521878335,0.0,0.0,0.0,0.0,0.0,1883.7818603515625,-2680838528.0,315.0,0.0,0.0,0.0,1.0,1.0
25482870.0,0.021225955337285995,0.0,0.0,16.389999389648438,0.0308889951556921,0.0,0.8190772420943494,0.0,0.0,0.0,4.922118380062305,0.8311415044713308,0.0,0.0,0.0,0.0,0.0,1910.739990234375,-5096574208.0,321.0,0.0,0.0,0.0,1.0,1.0
33502894.0,0.021637961268424988,0.0,0.0,20.280000686645508,0.025742346420884132,0.0,0.7623504940197607,0.0,0.0,0.0,3.2362030905077264,0.7639395518499218,0.0,0.0,0.0,0.0,0.0,2175.2333984375,-6700578816.0,453.0,0.0,0.0,0.0,1.0,1.0
22104256.0,0.021460140123963356,0.0,0.0,16.530000686645508,0.024516012519598007,0.0,0.7947229551451187,0.0,0.0,0.0,3.921875,0.7968253968253968,0.0,0.0,0.0,0.0,0.0,2135.5380859375,-4420850944.0,384.0,0.0,0.0,0.0,1.0,1.0
26584832.0,0.02218453958630562,0.0,0.0,20.40999984741211,0.025826256722211838,0.0,0.7849846782431052,0.0,0.0,0.0,3.8813131313131315,0.7951370926021728,0.0,0.0,0.0,0.0,0.0,1847.2911376953125,-5316966144.0,396.0,0.0,0.0,0.0,1.0,1.0
39418448.0,0.02167464978992939,0.0,0.0,22.139999389648438,0.02850116416811943,0.0,0.7427363972530375,0.0,0.0,0.0,3.036717062634989,0.7522739432851793,0.0,0.0,0.0,0.0,0.0,2237.066650390625,-7883690240.0,463.0,0.0,0.0,0.0,1.0,1.0
60595104.0,0.021805839613080025,0.0,0.0,22.1200008392334,0.028342893347144127,0.0,0.727366255144033,0.0,0.0,0.0,2.8111332007952288,0.7376108502869066,0.0,0.0,0.0,0.0,0.0,1758.7529296875,-12119020032.0,503.0,0.0,0.0,0.0,1.0,1.0
22922890.0,0.02203228697180748,0.0,0.0,16.229999542236328,0.02319841831922531,0.0,0.8294736842105264,0.0,0.0,0.0,5.100323624595469,0.8360742705570292,0.0,0.0,0.0,0.0,0.0,2190.82275390625,-4584578048.0,309.0,0.0,0.0,0.0,1.0,1.0
25628974.0,0.02219812385737896,0.0,0.0,20.3700008392334,0.025213290005922318,0.0,0.7720474471376998,0.0,0.0,0.0,3.696296296296296,0.7870662460567823,0.0,0.0,0.0,0.0,0.0,2305.51806640625,-5125794816.0,405.0,0.0,0.0,0.0,1.0,1.0
