episode,avg_backlog_drift,avg_lower_mf_loss,avg_lower_td_loss,avg_remaining_tasks,avg_upper_mf_loss,avg_upper_td_loss,completion_rate,lower_q_max,lower_q_mean,lower_q_min,lower_reward,qos_rate,qos_success_rate,total_energy,total_reward,total_success_qos,total_violate_qos,total_violations,upper_q_max,upper_q_mean,upper_q_min,upper_reward,zeta_lower,zeta_upper
11,108569536.00000000,0.02497763,0,0,0,0,0.44950000,0,0,0,-10857372740.62500000,2.70961547,0.73043025,3030.54841709,-21714358482.50000000,2818.00000000,1040.00000000,1040,0,0,0,-10856985741.87500000,1.00000000,1.00000000
12,111698280.00000000,0.02498609,0,0,0,0,0.47400000,0,0,0,-11170226250.31250000,2.86773539,0.74145079,3502.38913727,-22340089996.31250000,2862.00000000,998.00000000,998,0,0,0,-11169863746.00000000,1.00000000,1.00000000
13,130410784.00000000,0.02380467,0,0,0,0,0.46600000,0,0,0,-13041484401.62500000,2.83218169,0.73905206,3286.44298744,-26082595685.62500000,2869.00000000,1013.00000000,1013,0,0,0,-13041111284.00000000,1.00000000,1.00000000
14,113779848.00000000,0.02370587,0,0,0,0,0.48300000,0,0,0,-11378373734.50000000,2.92081213,0.74495083,3510.65179825,-22756393339.50000000,2877.00000000,985.00000000,985,0,0,0,-11378019605.00000000,1.00000000,1.00000000
15,102061160.00000000,0.02325460,0,0,0,0,0.45100000,0,0,0,-10206528876.43750000,2.75341129,0.73357570,3381.04420662,-20412678087.62500000,2825.00000000,1026.00000000,1026,0,0,0,-10206149211.18750000,1.00000000,1.00000000
16,134351152.00000000,0.02349896,0,0,0,0,0.42400000,0,0,0,-13435555656.25000000,2.51551104,0.71554631,3099.79927588,-26870701274.50000000,2757.00000000,1096.00000000,1096,0,0,0,-13435145618.25000000,1.00000000,1.00000000
17,146039632.00000000,0.02375397,0,0,0,0,0.45800000,0,0,0,-14604377889.00000000,2.74757290,0.73316061,3470.55969048,-29208374736.50000000,2830.00000000,1030.00000000,1030,0,0,0,-14603996847.50000000,1.00000000,1.00000000
18,135189824.00000000,0.02311899,0,0,0,0,0.46250000,0,0,0,-13519384429.75000000,2.78921580,0.73609316,3441.51032543,-27038401812.75000000,2845.00000000,1020.00000000,1020,0,0,0,-13519017383.00000000,1.00000000,1.00000000
19,127176856.00000000,0.02301971,0,0,0,0,0.43850000,0,0,0,-12718114856.06250000,2.65250230,0.72621512,3148.02554989,-25435832561.31250000,2809.00000000,1059.00000000,1059,0,0,0,-12717717705.25000000,1.00000000,1.00000000
20,110703032.00000000,0.02311192,0,0,0,0,0.45950000,0,0,0,-11070694317.81250000,2.79980278,0.73682845,2650.89513493,-22141022802.56250000,2839.00000000,1014.00000000,1014,0,0,0,-11070328484.75000000,1.00000000,1.00000000
21,119937784.00000000,0.02326429,0,0,0,0,0.43650000,0,0,0,-11994198862.25000000,2.60714293,0.72277230,3208.70722294,-23988008411.62500000,2774.00000000,1064.00000000,1064,0,0,0,-11993809549.37500000,1.00000000,1.00000000
22,143743408.00000000,0.02315407,0,0,0,0,0.43750000,0,0,0,-14374760560.48437500,2.61357212,0.72326553,3065.20053291,-28749131166.14062500,2773.00000000,1061.00000000,1061,0,0,0,-14374370605.65625000,1.00000000,1.00000000
23,127842696.00000000,0.02321687,0,0,0,0,0.47950000,0,0,0,-12784676247.00000000,2.91979694,0.74488473,3718.04547119,-25568982700.75000000,2876.00000000,985.00000000,985,0,0,0,-12784306453.75000000,1.00000000,1.00000000
24,138500288.00000000,0.02314149,0,0,0,0,0.44250000,0,0,0,-13850450018.62500000,2.66030526,0.72679877,3239.43510342,-27700511354.37500000,2788.00000000,1048.00000000,1048,0,0,0,-13850061335.75000000,1.00000000,1.00000000
25,123911432.00000000,0.02311320,0,0,0,0,0.44550000,0,0,0,-12391563816.75000000,2.68350816,0.72851968,3175.76626587,-24782739648.75000000,2815.00000000,1049.00000000,1049,0,0,0,-12391175832.00000000,1.00000000,1.00000000
